=> snapshot time : 7 <ALLOCATTING> , with memory size = 960.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 423 <ALLOCATTING> , with memory size = 159.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 423 <ALLOCATTING> , with memory size = 95.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 426 <ALLOCATTING> , with memory size = 94.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (0) : 
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <DEALLOCATTING> 
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 429 <ALLOCATTING> , with memory size = 126.
(0), size -> (0) : 
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 430 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 448 | 511 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 444 <ALLOCATTING> , with memory size = 63.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 452 <ALLOCATTING> , with memory size = 127.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (1) : < 64 > [ 384 | 447 ] -> [NULL]
(7), size -> (0) : 
(8), size -> (0) : 
=> snapshot time : 454 <DEALLOCATTING> 
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 191.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
(1), size -> (1) : < 2 > [ 522 | 523 ] -> [NULL]
(2), size -> (1) : < 4 > [ 524 | 527 ] -> [NULL]
(3), size -> (1) : < 8 > [ 512 | 519 ] -> [NULL]
(4), size -> (1) : < 16 > [ 560 | 575 ] -> [NULL]
(5), size -> (1) : < 32 > [ 608 | 639 ] -> [NULL]
(6), size -> (0) : 
(7), size -> (1) : < 128 > [ 384 | 511 ] -> [NULL]
(8), size -> (0) : 
=> snapshot time : 454 <ALLOCATTING> , with memory size = 63.
(0), size -> (1) : < 1 > [ 521 | 521 ] -> [NULL]
